symbol,V,DM4,DM2,DM1,VA2,DC2,D,VM3_VA5,DL5,VA1v,DA1,DL3,VA1d,VP1l_VP3,DP1m_DC4,VP4_VP1d_VP2,DL2d/v_DP1l_VC3l,VL1_VM1,DC1
CG13339,0.1511374593116076,0.05216562437833612,0.09966217249781767,0.10551495222175884,0.11148177815012268,0.3026805239084378,0.2608463079321212,0.0,0.4067390887384042,0.22136902741052572,0.1960715055993805,0.0,0.46329033461331104,0.3346330301119229,0.2098503101879016,0.32504601348863016,0.21566465871880197,0.0,0.14128171317701
CG6329,7.933361755021398,6.778639700328495,7.405485344997005,6.727553293425836,7.078041147705754,7.54690023530121,8.236325404781809,7.889724423248687,7.598579505447486,8.10638846543381,7.533493548729343,4.3696458692025315,7.635576512993447,8.953475750048609,7.726138629556539,6.5272048488646774,8.120614625645631,6.026682938172198,7.413682758590208
CG6337,0.049161553715959164,0.0,0.0,0.0,0.0,0.0,0.0,0.07610910386399233,0.0,0.03393378654480776,0.0,0.0,0.0,0.0,0.021856768260455777,0.0,0.0,0.0,0.0
CG6347,0.0,0.007011427916891221,0.0,0.0,0.0,0.0,0.2526184564392202,0.0,0.0,0.03194527581819223,0.07471487840193637,0.0,0.6719466969982777,0.0,0.021856768260455777,0.0,0.0,0.0,0.0
CG6357,0.4852206703786094,0.42167758609910105,0.26651712836783475,0.616761447485382,0.6679784154146522,0.32163588652807046,0.9777598709189471,0.09364306227509023,0.8594512906689308,0.35429808575961264,0.48100154450643895,0.5503847957584993,0.6573355971483584,1.057905467243941,0.33849381751185526,0.8130674036558247,0.5973642435161188,0.3821793063083536,0.24017200882548942
Syngr,1.6673696100754567,2.924066882811185,3.2398877890972235,3.1343205622362187,3.4568589866897215,2.6866123357007963,3.883460961871837,3.289046247889135,2.440912096803059,3.906361459264997,3.149422508226266,0.0,3.112709203895387,1.7029271587318189,2.3106776369355018,2.0502289365296376,2.7772075599820423,0.858645819763356,2.5936190766478124
CG6543,0.04494606527286108,0.019386644189746303,0.14125897824166697,0.035471224417261665,0.0,0.0,0.1812924775247885,0.4882053202624636,0.2970277041011947,0.06420112111993731,0.0362252058395614,0.0,0.0,0.20572377276525636,0.3628026396836783,0.19618084423612409,0.2131786824485427,0.3168943886530169,0.19510267462731834
CG6553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CG16935,0.22513831657396155,0.7044922710951235,0.254509930319801,0.22344125638566473,0.18687510196823792,0.2957169416236964,0.4238010024965882,0.7320464241171578,0.621091088224309,0.7867200846861613,0.2753273041666465,0.0,0.33883885329107816,0.10641170734678959,0.6950164822842325,0.5239914633968484,0.2778634189822328,0.0,0.4791441831284066
CG13344,0.09470648717412651,0.3544923719114706,0.2940101945959987,0.2175815924595421,0.5026703504720555,0.0,0.2586261173982239,0.39661281305171675,0.0,0.6460347965644482,0.010571417313675556,0.25855237186305297,0.0,0.0,0.25586949333260767,0.7661016991140801,0.13267459931693293,0.0,0.30414140219794256
