symbol,DA1,VA2,DM1,DL3,DA4l,VM4,DM3,DM4,VL2a,DP1l,V,VA1v,VA1d,VC3,VL1,DL4,DL5,DC3,VM3,DM2
ytr,0.7417199493304595,0.9140032982049714,0.9799922666373296,0.3519484238311432,0.658414626541915,0.8124945050792558,0.8360879224910269,2.3928332328898376,0.9127819157510241,0.7401610581509731,1.6073346439090284,0.0,0.44973313959867,0.48599847572074956,0.34392271375768946,1.1425617689045382,0.6266630863159892,0.5638441095151676,0.48813177415602993,0.4634124490366123
RFeSP,6.112043125479465,8.06247802253853,8.084202105764856,3.406118919808379,9.115039330130708,5.806372289295429,8.16767337593632,8.881349846829796,7.520452896084609,7.145346632779735,6.520403516076719,7.648599985502506,8.747838550477598,6.686996769367829,6.174820106997651,6.816142907876002,7.355390960178438,6.563313568626856,8.31331271119234,5.854830455303456
Coprox,0.0,0.3038001985163122,1.3342545163700756,0.0,0.22168989703656491,0.7220025062570237,0.5493706612929427,0.31844787002543784,0.2840445891331913,0.9399521319324751,1.3425329067409286,0.6687588851846366,0.3654718919369451,0.4296849470360877,0.4790638143932238,0.0,0.0,0.0,3.4893100395478447,0.778909271311473
ND-PDSW,3.4768216987671563,5.468402034383046,5.7078996104372575,2.612512064747449,5.241891336561857,2.1745911195444196,3.687144738729822,5.883722750198632,5.288992096281153,4.50397862810679,4.091799432700176,4.869378073465191,5.236584196968455,3.81322033210869,2.585345355623684,3.131494427196759,6.1707373433821315,4.384535393183776,5.03151839527369,4.0083481089756985
l(2)k09913,4.781502166023885,5.540209098479462,5.876451871456621,3.5141584010759943,4.738817888152952,4.511048506663535,5.2537817961722855,5.848186498674555,3.846323650068432,4.973526575429168,3.851846427441868,6.814985156178829,4.471180569288582,6.122322950240576,4.825546270987412,3.9781241650773835,6.961215858297171,4.8049419551651145,3.3599297704199502,3.9173689640734426
Rs1,0.3385395695762656,0.0,0.6389711071652416,0.0,0.33107237164540954,0.2849776230619942,0.5194267510821783,0.7113444063241531,0.07419858227114871,0.19712413782344565,0.3701026244863993,0.559472113996902,0.1819125256909001,0.39745461677427324,0.0,0.0,0.0,0.3885387568163488,0.0,0.9570042018302847
eIF-3p40,5.024965456343845,5.188684844252483,6.045838937330437,5.160475164710148,4.839096544554338,2.237060688441209,4.446557317479014,4.640574472315597,3.2599886383935286,3.896597638061275,4.404928683605283,4.819889638660578,4.092659215692638,3.637671508629161,1.7972237802213393,3.1749783103351685,5.585506326176473,4.191084161375818,4.787932668661722,3.547807049024833
Vps25,0.7101685082952395,0.5009315153814771,1.3774643026479865,0.0,1.451689482559063,0.0,0.47331732673663396,0.958157361758321,0.8461294223704122,0.47925038924443375,0.5213701837804238,1.067661478978337,0.8253395811829282,0.8587136843173918,0.39298264277543965,0.8797491577470206,2.2618813593960834,0.4757664482942208,0.9768558462029149,0.7291163299863137
l(2)k01209,0.608561804135298,1.338936279960629,1.5716727854804589,0.0,0.11539392358340422,0.5456251807116739,0.1862545012724606,1.3973156626446614,0.5968764557074353,0.32324546869080567,0.4454720411252726,0.9993919739777781,0.9627750150168491,0.4819726767729727,0.7444090732203061,0.7054053083690949,0.965796653851184,0.920872626238456,1.591805394959264,1.2582475171655472
Nnp-1,2.2824101133965993,1.6701251590320931,0.8059154922748195,0.0,0.5670475619878258,1.3981807035109168,1.4166636255815948,1.135178234445343,1.2503249550262812,0.5288781855192085,1.4735595998895858,0.9848090319015733,2.383141912647766,0.7573717319136658,0.5486826541418011,0.4812749019173973,1.7262858498237663,0.6689215181792677,0.57713548950566,1.20031561438455
